company_name,weight,total_length,start_area,end_area,price
실버퀵,5,100,의정부,구로,19
실버퀵,5,100,강남,금천,11
실버퀵,5,100,강동,금천,10
실버퀵,5,100,강북,금천,11
실버퀵,5,100,강서,금천,10
실버퀵,5,100,관악,금천,9
실버퀵,5,100,광진,금천,11
실버퀵,5,100,구로,금천,8
실버퀵,5,100,금천,금천,6
실버퀵,5,100,노원,금천,11
실버퀵,5,100,도봉,금천,11
실버퀵,5,100,동대문,금천,11
실버퀵,5,100,동작,금천,9
실버퀵,5,100,마포,금천,10
실버퀵,5,100,서대문,금천,11
실버퀵,5,100,서초,금천,10
실버퀵,5,100,성동,금천,11
실버퀵,5,100,성북,금천,11
실버퀵,5,100,송파,금천,11
실버퀵,5,100,양천,금천,9
실버퀵,5,100,영등포,금천,9
실버퀵,5,100,용산,금천,10
실버퀵,5,100,은평,금천,11
실버퀵,5,100,종로,금천,10
실버퀵,5,100,중구,금천,10
실버퀵,5,100,중랑,금천,11
실버퀵,5,100,부천,금천,14
실버퀵,5,100,인천,금천,19
실버퀵,5,100,안양,금천,9
실버퀵,5,100,수원,금천,14
실버퀵,5,100,안산,금천,14
실버퀵,5,100,성남,금천,17
실버퀵,5,100,일산,금천,20
실버퀵,5,100,의정부,금천,20
실버퀵,5,100,강남,노원,11
실버퀵,5,100,강동,노원,11
실버퀵,5,100,강북,노원,8
실버퀵,5,100,강서,노원,11
실버퀵,5,100,관악,노원,11
실버퀵,5,100,광진,노원,9
실버퀵,5,100,구로,노원,11
실버퀵,5,100,금천,노원,11
실버퀵,5,100,노원,노원,6
실버퀵,5,100,도봉,노원,8
실버퀵,5,100,동대문,노원,9
실버퀵,5,100,동작,노원,11
실버퀵,5,100,마포,노원,10
실버퀵,5,100,서대문,노원,11
실버퀵,5,100,서초,노원,11
실버퀵,5,100,성동,노원,9
실버퀵,5,100,성북,노원,8
실버퀵,5,100,송파,노원,10
실버퀵,5,100,양천,노원,11
실버퀵,5,100,영등포,노원,11
실버퀵,5,100,용산,노원,10
실버퀵,5,100,은평,노원,11
실버퀵,5,100,종로,노원,9
실버퀵,5,100,중구,노원,9
실버퀵,5,100,중랑,노원,8
실버퀵,5,100,부천,노원,19
실버퀵,5,100,인천,노원,24
실버퀵,5,100,안양,노원,18
실버퀵,5,100,수원,노원,24
실버퀵,5,100,안산,노원,24
실버퀵,5,100,성남,노원,19
실버퀵,5,100,일산,노원,20
실버퀵,5,100,의정부,노원,11
실버퀵,5,100,강남,도봉,11
실버퀵,5,100,강동,도봉,9
실버퀵,5,100,강북,도봉,8
실버퀵,5,100,강서,도봉,11
실버퀵,5,100,관악,도봉,11
실버퀵,5,100,광진,도봉,10
실버퀵,5,100,구로,도봉,11
실버퀵,5,100,금천,도봉,11
실버퀵,5,100,노원,도봉,8
실버퀵,5,100,도봉,도봉,6
실버퀵,5,100,동대문,도봉,9
실버퀵,5,100,동작,도봉,11
실버퀵,5,100,마포,도봉,10
실버퀵,5,100,서대문,도봉,11
실버퀵,5,100,서초,도봉,11
실버퀵,5,100,성동,도봉,10
실버퀵,5,100,성북,도봉,8
실버퀵,5,100,송파,도봉,11
실버퀵,5,100,양천,도봉,10
실버퀵,5,100,영등포,도봉,11
실버퀵,5,100,용산,도봉,11
실버퀵,5,100,은평,도봉,10
실버퀵,5,100,종로,도봉,11
실버퀵,5,100,중구,도봉,9
실버퀵,5,100,중랑,도봉,9
실버퀵,5,100,부천,도봉,19
실버퀵,5,100,인천,도봉,19
실버퀵,5,100,안양,도봉,24
실버퀵,5,100,수원,도봉,18
실버퀵,5,100,안산,도봉,24
실버퀵,5,100,성남,도봉,24
실버퀵,5,100,일산,도봉,19
실버퀵,5,100,의정부,도봉,20
실버퀵,5,100,강남,동대문,9
실버퀵,5,100,강동,동대문,11
실버퀵,5,100,강북,동대문,9
실버퀵,5,100,강서,동대문,11
실버퀵,5,100,관악,동대문,10
실버퀵,5,100,광진,동대문,9
실버퀵,5,100,구로,동대문,10
실버퀵,5,100,금천,동대문,11
실버퀵,5,100,노원,동대문,9
실버퀵,5,100,도봉,동대문,9
실버퀵,5,100,동대문,동대문,6
실버퀵,5,100,동작,동대문,9
실버퀵,5,100,마포,동대문,9
실버퀵,5,100,서대문,동대문,9
실버퀵,5,100,서초,동대문,9
실버퀵,5,100,성동,동대문,9
실버퀵,5,100,성북,동대문,8
실버퀵,5,100,송파,동대문,10
실버퀵,5,100,양천,동대문,10
실버퀵,5,100,영등포,동대문,9
실버퀵,5,100,용산,동대문,9
실버퀵,5,100,은평,동대문,10
실버퀵,5,100,종로,동대문,8
실버퀵,5,100,중구,동대문,8
실버퀵,5,100,중랑,동대문,9
실버퀵,5,100,부천,동대문,15
실버퀵,5,100,인천,동대문,22
실버퀵,5,100,안양,동대문,16
실버퀵,5,100,수원,동대문,22
실버퀵,5,100,안산,동대문,22
실버퀵,5,100,성남,동대문,17
실버퀵,5,100,일산,동대문,17
실버퀵,5,100,의정부,동대문,12
실버퀵,5,100,강남,동작,9
실버퀵,5,100,강동,동작,10
실버퀵,5,100,강북,동작,11
실버퀵,5,100,강서,동작,10
실버퀵,5,100,관악,동작,8
실버퀵,5,100,광진,동작,9
실버퀵,5,100,구로,동작,9
실버퀵,5,100,금천,동작,9
실버퀵,5,100,노원,동작,11
실버퀵,5,100,도봉,동작,11
실버퀵,5,100,동대문,동작,9
실버퀵,5,100,동작,동작,6
실버퀵,5,100,마포,동작,9
실버퀵,5,100,서대문,동작,10
실버퀵,5,100,서초,동작,8
실버퀵,5,100,성동,동작,9
실버퀵,5,100,성북,동작,10
실버퀵,5,100,송파,동작,9
실버퀵,5,100,양천,동작,10
실버퀵,5,100,영등포,동작,8
실버퀵,5,100,용산,동작,9
실버퀵,5,100,은평,동작,11
실버퀵,5,100,종로,동작,9
실버퀵,5,100,중구,동작,9
실버퀵,5,100,중랑,동작,10
실버퀵,5,100,부천,동작,14
실버퀵,5,100,인천,동작,19
실버퀵,5,100,안양,동작,12
실버퀵,5,100,수원,동작,18
실버퀵,5,100,안산,동작,28
실버퀵,5,100,성남,동작,13
실버퀵,5,100,일산,동작,18
실버퀵,5,100,의정부,동작,18
실버퀵,5,100,강남,마포,10
실버퀵,5,100,강동,마포,10
실버퀵,5,100,강북,마포,9
실버퀵,5,100,강서,마포,10
실버퀵,5,100,관악,마포,9
실버퀵,5,100,광진,마포,9
실버퀵,5,100,구로,마포,9
실버퀵,5,100,금천,마포,10
실버퀵,5,100,노원,마포,10
실버퀵,5,100,도봉,마포,10
실버퀵,5,100,동대문,마포,9
실버퀵,5,100,동작,마포,9
실버퀵,5,100,마포,마포,6
실버퀵,5,100,서대문,마포,8
실버퀵,5,100,서초,마포,10
실버퀵,5,100,성동,마포,9
실버퀵,5,100,성북,마포,9
실버퀵,5,100,송파,마포,10
실버퀵,5,100,양천,마포,9
실버퀵,5,100,영등포,마포,8
실버퀵,5,100,용산,마포,8
실버퀵,5,100,은평,마포,9
실버퀵,5,100,종로,마포,9
실버퀵,5,100,중구,마포,9
실버퀵,5,100,중랑,마포,10
실버퀵,5,100,부천,마포,14
실버퀵,5,100,인천,마포,18
실버퀵,5,100,안양,마포,13
실버퀵,5,100,수원,마포,19
실버퀵,5,100,안산,마포,19
실버퀵,5,100,성남,마포,17
실버퀵,5,100,일산,마포,17
실버퀵,5,100,의정부,마포,17
실버퀵,5,100,강남,서대문,10
실버퀵,5,100,강동,서대문,10
실버퀵,5,100,강북,서대문,9
실버퀵,5,100,강서,서대문,10
실버퀵,5,100,관악,서대문,10
실버퀵,5,100,광진,서대문,9
실버퀵,5,100,구로,서대문,10
실버퀵,5,100,금천,서대문,11
실버퀵,5,100,노원,서대문,10
실버퀵,5,100,도봉,서대문,11
실버퀵,5,100,동대문,서대문,9
실버퀵,5,100,동작,서대문,10
실버퀵,5,100,마포,서대문,8
실버퀵,5,100,서대문,서대문,6
실버퀵,5,100,서초,서대문,10
실버퀵,5,100,성동,서대문,9
실버퀵,5,100,성북,서대문,10
실버퀵,5,100,송파,서대문,10
실버퀵,5,100,양천,서대문,10
실버퀵,5,100,영등포,서대문,9
실버퀵,5,100,용산,서대문,9
실버퀵,5,100,은평,서대문,9
실버퀵,5,100,종로,서대문,8
실버퀵,5,100,중구,서대문,8
실버퀵,5,100,중랑,서대문,10
실버퀵,5,100,부천,서대문,14
실버퀵,5,100,인천,서대문,18
실버퀵,5,100,안양,서대문,15
실버퀵,5,100,수원,서대문,19
실버퀵,5,100,안산,서대문,20
실버퀵,5,100,성남,서대문,17
실버퀵,5,100,일산,서대문,15
실버퀵,5,100,의정부,서대문,17
실버퀵,5,100,강남,서초,7
실버퀵,5,100,강동,서초,10
실버퀵,5,100,강북,서초,10
실버퀵,5,100,강서,서초,11
